receipt_date,region,channel,brand,total_sum,total_sum_pct
2019-08-02,Санкт-Петербург,nonchain,parliament,8160.00,0.89
2019-08-02,Свердловская область,chain,marlboro,10323.00,0.14
2019-08-02,Свердловская область,chain,parliament,63259.00,0.86
2019-08-02,Свердловская область,nonchain,marlboro,5066.00,0.28
2019-08-02,Свердловская область,nonchain,parliament,13019.00,0.72
2019-08-02,г. Москва,chain,marlboro,26401.00,0.26
2019-08-02,г. Москва,chain,parliament,76322.00,0.74
2019-08-02,г. Москва,nonchain,marlboro,5770.00,0.41
2019-08-02,г. Москва,nonchain,parliament,8243.00,0.59
2019-08-03,Ленинградская область,chain,marlboro,31884.00,0.31
2019-08-03,Ленинградская область,chain,parliament,70115.00,0.69
2019-08-03,Ленинградская область,nonchain,marlboro,2361.00,0.42
2019-08-03,Ленинградская область,nonchain,parliament,3286.00,0.58
2019-08-03,Московская область,chain,marlboro,29231.00,0.31
2019-08-03,Московская область,chain,parliament,63799.00,0.69
2019-08-03,Московская область,nonchain,marlboro,1502.00,0.22
2019-08-03,Московская область,nonchain,parliament,5243.00,0.78
2019-08-03,Новосибирская область,chain,marlboro,25483.00,0.26
2019-08-03,Новосибирская область,chain,parliament,72189.00,0.74
2019-08-03,Новосибирская область,nonchain,marlboro,260.00,0.05
2019-08-03,Новосибирская область,nonchain,parliament,4779.00,0.95
2019-08-03,Санкт-Петербург,chain,marlboro,59345.00,0.44
2019-08-03,Санкт-Петербург,chain,parliament,75473.00,0.56
2019-08-03,Санкт-Петербург,nonchain,marlboro,33236.00,0.77
2019-08-03,Санкт-Петербург,nonchain,parliament,9999.00,0.23
2019-08-03,Свердловская область,chain,marlboro,8638.00,0.15
2019-08-03,Свердловская область,chain,parliament,47907.00,0.85
2019-08-03,Свердловская область,nonchain,marlboro,5545.00,0.30
2019-08-03,Свердловская область,nonchain,parliament,12653.00,0.70
2019-08-03,г. Москва,chain,marlboro,20837.00,0.31
2019-08-03,г. Москва,chain,parliament,46762.00,0.69
2019-08-03,г. Москва,nonchain,marlboro,6577.00,0.35
2019-08-03,г. Москва,nonchain,parliament,12396.00,0.65
2019-08-04,Ленинградская область,chain,marlboro,24696.00,0.32
2019-08-04,Ленинградская область,chain,parliament,51612.00,0.68
2019-08-04,Ленинградская область,nonchain,marlboro,6218.00,0.63
2019-08-04,Ленинградская область,nonchain,parliament,3695.00,0.37
2019-08-04,Московская область,chain,marlboro,21301.00,0.24
2019-08-04,Московская область,chain,parliament,66203.00,0.76
2019-08-04,Московская область,nonchain,marlboro,1803.00,0.28
2019-08-04,Московская область,nonchain,parliament,4629.00,0.72
2019-08-04,Новосибирская область,chain,marlboro,22487.00,0.29
2019-08-04,Новосибирская область,chain,parliament,53793.00,0.71
2019-08-04,Новосибирская область,nonchain,marlboro,3138.00,0.46
2019-08-04,Новосибирская область,nonchain,parliament,3626.00,0.54
2019-08-04,Санкт-Петербург,chain,marlboro,36306.00,0.40
2019-08-04,Санкт-Петербург,chain,parliament,55243.00,0.60
2019-08-04,Санкт-Петербург,nonchain,marlboro,2909.00,0.39
2019-08-04,Санкт-Петербург,nonchain,parliament,4567.00,0.61
2019-08-04,Свердловская область,chain,marlboro,6296.00,0.12
2019-08-04,Свердловская область,chain,parliament,44782.00,0.88
2019-08-04,Свердловская область,nonchain,marlboro,2229.00,0.14
2019-08-04,Свердловская область,nonchain,parliament,13333.00,0.86
2019-08-04,г. Москва,chain,marlboro,15744.00,0.23
2019-08-04,г. Москва,chain,parliament,52489.00,0.77
2019-08-04,г. Москва,nonchain,marlboro,4110.00,0.33
2019-08-04,г. Москва,nonchain,parliament,8505.00,0.67
2019-08-05,Ленинградская область,chain,marlboro,22336.00,0.28
2019-08-05,Ленинградская область,chain,parliament,56817.00,0.72
2019-08-05,Ленинградская область,nonchain,marlboro,948.00,0.17
2019-08-05,Ленинградская область,nonchain,parliament,4781.00,0.83
2019-08-05,Московская область,chain,marlboro,16352.00,0.22
2019-08-05,Московская область,chain,parliament,57871.00,0.78
2019-08-05,Московская область,nonchain,marlboro,1304.00,0.16
2019-08-05,Московская область,nonchain,parliament,6617.00,0.84
2019-08-05,Новосибирская область,chain,marlboro,22625.00,0.30
2019-08-05,Новосибирская область,chain,parliament,53278.00,0.70
2019-08-05,Новосибирская область,nonchain,marlboro,1189.00,0.20
2019-08-05,Новосибирская область,nonchain,parliament,4743.00,0.80
2019-08-05,Санкт-Петербург,chain,marlboro,31716.00,0.32
2019-08-05,Санкт-Петербург,chain,parliament,67388.00,0.68
2019-08-05,Санкт-Петербург,nonchain,marlboro,1731.00,0.27
2019-08-05,Санкт-Петербург,nonchain,parliament,4624.00,0.73
2019-08-05,Свердловская область,chain,marlboro,6910.00,0.11
2019-08-05,Свердловская область,chain,parliament,57739.00,0.89
2019-08-05,Свердловская область,nonchain,marlboro,4548.00,0.21
2019-08-05,Свердловская область,nonchain,parliament,16707.00,0.79
2019-08-05,г. Москва,chain,marlboro,25646.00,0.34
2019-08-05,г. Москва,chain,parliament,48929.00,0.66
2019-08-05,г. Москва,nonchain,marlboro,9287.00,0.64
2019-08-05,г. Москва,nonchain,parliament,5323.00,0.36
2019-08-06,Ленинградская область,chain,marlboro,24415.00,0.29
2019-08-06,Ленинградская область,chain,parliament,59149.00,0.71
2019-08-06,Ленинградская область,nonchain,marlboro,1365.00,0.24
2019-08-06,Ленинградская область,nonchain,parliament,4308.00,0.76
2019-08-06,Московская область,chain,marlboro,23184.00,0.28
2019-08-06,Московская область,chain,parliament,60164.00,0.72
2019-08-06,Московская область,nonchain,marlboro,1084.00,0.12
2019-08-06,Московская область,nonchain,parliament,7711.00,0.88
2019-08-06,Новосибирская область,chain,marlboro,21238.00,0.30
2019-08-06,Новосибирская область,chain,parliament,50300.00,0.70
2019-08-06,Новосибирская область,nonchain,marlboro,783.00,0.14
2019-08-06,Новосибирская область,nonchain,parliament,4943.00,0.86
2019-08-06,Санкт-Петербург,chain,marlboro,54089.00,0.50
2019-08-06,Санкт-Петербург,chain,parliament,53330.00,0.50
2019-08-06,Санкт-Петербург,nonchain,marlboro,6457.00,0.53
2019-08-06,Санкт-Петербург,nonchain,parliament,5732.00,0.47
2019-08-06,Свердловская область,chain,marlboro,11940.00,0.21
2019-08-06,Свердловская область,chain,parliament,45910.00,0.79
2019-08-06,Свердловская область,nonchain,marlboro,2175.00,0.09
2019-08-06,Свердловская область,nonchain,parliament,21720.00,0.91
2019-08-06,г. Москва,chain,marlboro,14437.00,0.19
2019-08-06,г. Москва,chain,parliament,63199.00,0.81
2019-08-06,г. Москва,nonchain,marlboro,7898.00,0.50
2019-08-06,г. Москва,nonchain,parliament,7962.00,0.50
2019-08-07,Ленинградская область,chain,marlboro,23939.00,0.30
2019-08-07,Ленинградская область,chain,parliament,56111.00,0.70
2019-08-07,Ленинградская область,nonchain,marlboro,2380.00,0.52
2019-08-07,Ленинградская область,nonchain,parliament,2227.00,0.48
2019-08-07,Московская область,chain,marlboro,24033.00,0.25
2019-08-07,Московская область,chain,parliament,72952.00,0.75
2019-08-07,Московская область,nonchain,marlboro,935.00,0.15
2019-08-07,Московская область,nonchain,parliament,5485.00,0.85
2019-08-07,Новосибирская область,chain,marlboro,25379.00,0.26
2019-08-07,Новосибирская область,chain,parliament,73103.00,0.74
2019-08-07,Новосибирская область,nonchain,marlboro,194.00,0.04
2019-08-07,Новосибирская область,nonchain,parliament,4425.00,0.96
2019-08-07,Санкт-Петербург,chain,marlboro,84873.00,0.56
2019-08-07,Санкт-Петербург,chain,parliament,67017.00,0.44
2019-08-07,Санкт-Петербург,nonchain,marlboro,2779.00,0.49
2019-08-07,Санкт-Петербург,nonchain,parliament,2949.00,0.51
2019-08-07,Свердловская область,chain,marlboro,8206.00,0.16
2019-08-07,Свердловская область,chain,parliament,42361.00,0.84
2019-08-07,Свердловская область,nonchain,marlboro,2139.00,0.15
2019-08-07,Свердловская область,nonchain,parliament,12297.00,0.85
2019-08-07,г. Москва,chain,marlboro,32773.00,0.31
2019-08-07,г. Москва,chain,parliament,73992.00,0.69
2019-08-07,г. Москва,nonchain,marlboro,6204.00,0.62
2019-08-07,г. Москва,nonchain,parliament,3790.00,0.38
2019-08-08,Ленинградская область,chain,marlboro,44612.00,0.39
2019-08-08,Ленинградская область,chain,parliament,68698.00,0.61
2019-08-08,Ленинградская область,nonchain,marlboro,2285.00,0.50
2019-08-08,Ленинградская область,nonchain,parliament,2270.00,0.50
2019-08-08,Московская область,chain,marlboro,19632.00,0.24
2019-08-08,Московская область,chain,parliament,63101.00,0.76
2019-08-08,Московская область,nonchain,marlboro,2161.00,0.16
2019-08-08,Московская область,nonchain,parliament,11197.00,0.84
2019-08-08,Новосибирская область,chain,marlboro,30098.00,0.33
2019-08-08,Новосибирская область,chain,parliament,62237.00,0.67
2019-08-08,Новосибирская область,nonchain,marlboro,189.00,0.03
2019-08-08,Новосибирская область,nonchain,parliament,6112.00,0.97
2019-08-08,Санкт-Петербург,chain,marlboro,39296.00,0.36
2019-08-08,Санкт-Петербург,chain,parliament,70237.00,0.64
2019-08-08,Санкт-Петербург,nonchain,marlboro,11177.00,0.51
2019-08-08,Санкт-Петербург,nonchain,parliament,10645.00,0.49
2019-08-08,Свердловская область,chain,marlboro,7904.00,0.16
2019-08-08,Свердловская область,chain,parliament,40795.00,0.84
2019-08-08,Свердловская область,nonchain,marlboro,2005.00,0.12
2019-08-08,Свердловская область,nonchain,parliament,15169.00,0.88
2019-08-08,г. Москва,chain,marlboro,66084.00,0.52
2019-08-08,г. Москва,chain,parliament,61745.00,0.48
2019-08-08,г. Москва,nonchain,marlboro,3665.00,0.32
2019-08-08,г. Москва,nonchain,parliament,7920.00,0.68
2019-08-09,Ленинградская область,chain,marlboro,30070.00,0.33
2019-08-09,Ленинградская область,chain,parliament,61869.00,0.67
2019-08-09,Ленинградская область,nonchain,marlboro,2103.00,0.33
2019-08-09,Ленинградская область,nonchain,parliament,4361.00,0.67
2019-08-09,Московская область,chain,marlboro,27058.00,0.29
2019-08-09,Московская область,chain,parliament,65757.00,0.71
2019-08-09,Московская область,nonchain,marlboro,10118.00,0.50
2019-08-09,Московская область,nonchain,parliament,10241.00,0.50
2019-08-09,Новосибирская область,chain,marlboro,24794.00,0.29
2019-08-09,Новосибирская область,chain,parliament,62161.00,0.71
2019-08-09,Новосибирская область,nonchain,marlboro,1005.00,0.10
2019-08-09,Новосибирская область,nonchain,parliament,8693.00,0.90
2019-08-09,Санкт-Петербург,chain,marlboro,54077.00,0.42
2019-08-09,Санкт-Петербург,chain,parliament,74436.00,0.58
2019-08-09,Санкт-Петербург,nonchain,marlboro,3147.00,0.27
2019-08-09,Санкт-Петербург,nonchain,parliament,8505.00,0.73
2019-08-09,Свердловская область,chain,marlboro,15622.00,0.27
2019-08-09,Свердловская область,chain,parliament,43319.00,0.73
2019-08-09,Свердловская область,nonchain,marlboro,1993.00,0.08
2019-08-09,Свердловская область,nonchain,parliament,23524.00,0.92
2019-08-09,г. Москва,chain,marlboro,30958.00,0.27
2019-08-09,г. Москва,chain,parliament,84204.00,0.73
2019-08-09,г. Москва,nonchain,marlboro,8490.00,0.56
2019-08-09,г. Москва,nonchain,parliament,6580.00,0.44
2019-08-10,Ленинградская область,chain,marlboro,28180.00,0.26
2019-08-10,Ленинградская область,chain,parliament,79178.00,0.74
2019-08-10,Ленинградская область,nonchain,marlboro,3454.00,0.42
2019-08-10,Ленинградская область,nonchain,parliament,4843.00,0.58
2019-08-10,Московская область,chain,marlboro,34994.00,0.40
2019-08-10,Московская область,chain,parliament,52769.00,0.60
2019-08-10,Московская область,nonchain,marlboro,3164.00,0.39
2019-08-10,Московская область,nonchain,parliament,4940.00,0.61
2019-08-10,Новосибирская область,chain,marlboro,24382.00,0.25
2019-08-10,Новосибирская область,chain,parliament,73170.00,0.75
2019-08-10,Новосибирская область,nonchain,marlboro,2250.00,0.29
2019-08-10,Новосибирская область,nonchain,parliament,5433.00,0.71
2019-08-10,Санкт-Петербург,chain,marlboro,97977.00,0.68
2019-08-10,Санкт-Петербург,chain,parliament,47100.00,0.32
2019-08-10,Санкт-Петербург,nonchain,marlboro,14709.00,0.75
2019-08-10,Санкт-Петербург,nonchain,parliament,4836.00,0.25
2019-08-10,Свердловская область,chain,marlboro,11255.00,0.16
2019-08-10,Свердловская область,chain,parliament,57850.00,0.84
2019-08-10,Свердловская область,nonchain,marlboro,3316.00,0.16
2019-08-10,Свердловская область,nonchain,parliament,17136.00,0.84
2019-08-10,г. Москва,chain,marlboro,45544.00,0.47
2019-08-10,г. Москва,chain,parliament,50653.00,0.53
2019-08-10,г. Москва,nonchain,marlboro,4891.00,0.54
2019-08-10,г. Москва,nonchain,parliament,4168.00,0.46
2019-08-11,Ленинградская область,chain,marlboro,16530.00,0.24
2019-08-11,Ленинградская область,chain,parliament,52541.00,0.76
2019-08-11,Ленинградская область,nonchain,marlboro,1547.00,0.25
2019-08-11,Ленинградская область,nonchain,parliament,4668.00,0.75
2019-08-11,Московская область,chain,marlboro,20283.00,0.25
2019-08-11,Московская область,chain,parliament,59902.00,0.75
2019-08-11,Московская область,nonchain,marlboro,3273.00,0.32
2019-08-11,Московская область,nonchain,parliament,6925.00,0.68
2019-08-11,Новосибирская область,chain,marlboro,23388.00,0.30
2019-08-11,Новосибирская область,chain,parliament,53334.00,0.70
2019-08-11,Новосибирская область,nonchain,marlboro,1755.00,0.29
2019-08-11,Новосибирская область,nonchain,parliament,4304.00,0.71
2019-08-11,Санкт-Петербург,chain,marlboro,122626.00,0.67
2019-08-11,Санкт-Петербург,chain,parliament,59357.00,0.33
2019-08-11,Санкт-Петербург,nonchain,marlboro,4097.00,0.43
2019-08-11,Санкт-Петербург,nonchain,parliament,5344.00,0.57
2019-08-11,Свердловская область,chain,marlboro,6584.00,0.13
2019-08-11,Свердловская область,chain,parliament,43831.00,0.87
2019-08-11,Свердловская область,nonchain,marlboro,2122.00,0.13
2019-08-11,Свердловская область,nonchain,parliament,14620.00,0.87
2019-08-11,г. Москва,chain,marlboro,18244.00,0.25
2019-08-11,г. Москва,chain,parliament,55409.00,0.75
2019-08-11,г. Москва,nonchain,marlboro,2602.00,0.20
2019-08-11,г. Москва,nonchain,parliament,10641.00,0.80
2019-08-12,Ленинградская область,chain,marlboro,25382.00,0.33
2019-08-12,Ленинградская область,chain,parliament,50772.00,0.67
2019-08-12,Ленинградская область,nonchain,marlboro,3213.00,0.36
2019-08-12,Ленинградская область,nonchain,parliament,5670.00,0.64
2019-08-12,Московская область,chain,marlboro,21985.00,0.24
2019-08-12,Московская область,chain,parliament,70685.00,0.76
2019-08-12,Московская область,nonchain,marlboro,5577.00,0.47
2019-08-12,Московская область,nonchain,parliament,6306.00,0.53
2019-08-12,Новосибирская область,chain,marlboro,19964.00,0.22
2019-08-12,Новосибирская область,chain,parliament,71692.00,0.78
2019-08-12,Новосибирская область,nonchain,parliament,6057.00,1.00
2019-08-12,Санкт-Петербург,chain,marlboro,54237.00,0.39
2019-08-12,Санкт-Петербург,chain,parliament,86382.00,0.61
2019-08-12,Санкт-Петербург,nonchain,marlboro,11739.00,0.52
2019-08-12,Санкт-Петербург,nonchain,parliament,10729.00,0.48
2019-08-12,Свердловская область,chain,marlboro,16840.00,0.27
2019-08-12,Свердловская область,chain,parliament,44906.00,0.73
2019-08-12,Свердловская область,nonchain,marlboro,3199.00,0.15
2019-08-12,Свердловская область,nonchain,parliament,17952.00,0.85
2019-08-12,г. Москва,chain,marlboro,35177.00,0.36
2019-08-12,г. Москва,chain,parliament,63222.00,0.64
2019-08-12,г. Москва,nonchain,marlboro,2384.00,0.26
2019-08-12,г. Москва,nonchain,parliament,6863.00,0.74
2019-08-13,Ленинградская область,chain,marlboro,33741.00,0.39
2019-08-13,Ленинградская область,chain,parliament,52652.00,0.61
2019-08-13,Ленинградская область,nonchain,marlboro,2476.00,0.37
2019-08-13,Ленинградская область,nonchain,parliament,4224.00,0.63
2019-08-13,Московская область,chain,marlboro,36625.00,0.37
2019-08-13,Московская область,chain,parliament,63006.00,0.63
2019-08-13,Московская область,nonchain,marlboro,4539.00,0.56
2019-08-13,Московская область,nonchain,parliament,3569.00,0.44
2019-08-13,Новосибирская область,chain,marlboro,17723.00,0.22
2019-08-13,Новосибирская область,chain,parliament,63623.00,0.78
2019-08-13,Новосибирская область,nonchain,marlboro,660.00,0.12
2019-08-13,Новосибирская область,nonchain,parliament,4920.00,0.88
2019-08-13,Санкт-Петербург,chain,marlboro,46300.00,0.42
2019-08-13,Санкт-Петербург,chain,parliament,64012.00,0.58
2019-08-13,Санкт-Петербург,nonchain,marlboro,1182.00,0.17
2019-08-13,Санкт-Петербург,nonchain,parliament,5915.00,0.83
2019-08-13,Свердловская область,chain,marlboro,13293.00,0.28
2019-08-13,Свердловская область,chain,parliament,34855.00,0.72
2019-08-13,Свердловская область,nonchain,marlboro,3002.00,0.18
2019-08-13,Свердловская область,nonchain,parliament,13345.00,0.82
2019-08-13,г. Москва,chain,marlboro,18815.00,0.27
2019-08-13,г. Москва,chain,parliament,50338.00,0.73
2019-08-13,г. Москва,nonchain,marlboro,10730.00,0.62
2019-08-13,г. Москва,nonchain,parliament,6681.00,0.38
2019-08-14,Ленинградская область,chain,marlboro,20814.00,0.29
2019-08-14,Ленинградская область,chain,parliament,50800.00,0.71
2019-08-14,Ленинградская область,nonchain,marlboro,1565.00,0.40
2019-08-14,Ленинградская область,nonchain,parliament,2302.00,0.60
2019-08-14,Московская область,chain,marlboro,25926.00,0.34
2019-08-14,Московская область,chain,parliament,51315.00,0.66
2019-08-14,Московская область,nonchain,marlboro,2234.00,0.27
2019-08-14,Московская область,nonchain,parliament,5991.00,0.73
2019-08-14,Новосибирская область,chain,marlboro,18296.00,0.20
2019-08-14,Новосибирская область,chain,parliament,73666.00,0.80
2019-08-14,Новосибирская область,nonchain,marlboro,607.00,0.08
2019-08-14,Новосибирская область,nonchain,parliament,6626.00,0.92
2019-08-14,Санкт-Петербург,chain,marlboro,44946.00,0.40
2019-08-14,Санкт-Петербург,chain,parliament,68320.00,0.60
2019-08-14,Санкт-Петербург,nonchain,marlboro,1561.00,0.23
2019-08-14,Санкт-Петербург,nonchain,parliament,5334.00,0.77
2019-08-14,Свердловская область,chain,marlboro,10587.00,0.14
2019-08-14,Свердловская область,chain,parliament,66484.00,0.86
2019-08-14,Свердловская область,nonchain,marlboro,2438.00,0.17
2019-08-14,Свердловская область,nonchain,parliament,12120.00,0.83
2019-08-14,г. Москва,chain,marlboro,18072.00,0.24
2019-08-14,г. Москва,chain,parliament,57817.00,0.76
2019-08-14,г. Москва,nonchain,marlboro,6185.00,0.61
2019-08-14,г. Москва,nonchain,parliament,3929.00,0.39
2019-08-15,Ленинградская область,chain,marlboro,21538.00,0.21
2019-08-15,Ленинградская область,chain,parliament,79236.00,0.79
2019-08-15,Ленинградская область,nonchain,marlboro,1751.00,0.35
2019-08-15,Ленинградская область,nonchain,parliament,3222.00,0.65
2019-08-15,Московская область,chain,marlboro,21553.00,0.27
2019-08-15,Московская область,chain,parliament,58739.00,0.73
2019-08-15,Московская область,nonchain,marlboro,1727.00,0.21
2019-08-15,Московская область,nonchain,parliament,6536.00,0.79
2019-08-15,Новосибирская область,chain,marlboro,17910.00,0.22
2019-08-15,Новосибирская область,chain,parliament,63666.00,0.78
2019-08-15,Новосибирская область,nonchain,marlboro,661.00,0.15
2019-08-15,Новосибирская область,nonchain,parliament,3851.00,0.85
2019-08-15,Санкт-Петербург,chain,marlboro,59506.00,0.44
2019-08-15,Санкт-Петербург,chain,parliament,75909.00,0.56
2019-08-15,Санкт-Петербург,nonchain,marlboro,10553.00,0.57
2019-08-15,Санкт-Петербург,nonchain,parliament,8032.00,0.43
2019-08-15,Свердловская область,chain,marlboro,17505.00,0.26
2019-08-15,Свердловская область,chain,parliament,49801.00,0.74
2019-08-15,Свердловская область,nonchain,marlboro,6069.00,0.28
2019-08-15,Свердловская область,nonchain,parliament,15617.00,0.72
2019-08-15,г. Москва,chain,marlboro,27236.00,0.29
2019-08-15,г. Москва,chain,parliament,65361.00,0.71
2019-08-15,г. Москва,nonchain,marlboro,3137.00,0.32
2019-08-15,г. Москва,nonchain,parliament,6770.00,0.68
2019-08-16,Ленинградская область,chain,marlboro,25324.00,0.28
2019-08-16,Ленинградская область,chain,parliament,65184.00,0.72
2019-08-16,Ленинградская область,nonchain,marlboro,6955.00,0.58
2019-08-16,Ленинградская область,nonchain,parliament,5069.00,0.42
2019-08-16,Московская область,chain,marlboro,22369.00,0.24
2019-08-16,Московская область,chain,parliament,71902.00,0.76
2019-08-16,Московская область,nonchain,marlboro,6496.00,0.50
2019-08-16,Московская область,nonchain,parliament,6429.00,0.50
2019-08-16,Новосибирская область,chain,marlboro,19689.00,0.20
2019-08-16,Новосибирская область,chain,parliament,77489.00,0.80
2019-08-16,Новосибирская область,nonchain,marlboro,466.00,0.09
2019-08-16,Новосибирская область,nonchain,parliament,4443.00,0.91
2019-08-16,Санкт-Петербург,chain,marlboro,53759.00,0.45
2019-08-16,Санкт-Петербург,chain,parliament,65632.00,0.55
2019-08-16,Санкт-Петербург,nonchain,marlboro,14865.00,0.71
2019-08-16,Санкт-Петербург,nonchain,parliament,6070.00,0.29
2019-08-16,Свердловская область,chain,marlboro,9848.00,0.15
2019-08-16,Свердловская область,chain,parliament,54380.00,0.85
2019-08-16,Свердловская область,nonchain,marlboro,3508.00,0.20
2019-08-16,Свердловская область,nonchain,parliament,14254.00,0.80
2019-08-16,г. Москва,chain,marlboro,30526.00,0.29
2019-08-16,г. Москва,chain,parliament,73230.00,0.71
2019-08-16,г. Москва,nonchain,marlboro,8052.00,0.63
2019-08-16,г. Москва,nonchain,parliament,4638.00,0.37
2019-08-17,Ленинградская область,chain,marlboro,40141.00,0.43
2019-08-17,Ленинградская область,chain,parliament,52308.00,0.57
2019-08-17,Ленинградская область,nonchain,marlboro,1380.00,0.14
2019-08-17,Ленинградская область,nonchain,parliament,8527.00,0.86
2019-08-17,Московская область,chain,marlboro,33444.00,0.36
2019-08-17,Московская область,chain,parliament,60068.00,0.64
2019-08-17,Московская область,nonchain,marlboro,2468.00,0.26
2019-08-17,Московская область,nonchain,parliament,6896.00,0.74
2019-08-17,Новосибирская область,chain,marlboro,22611.00,0.30
2019-08-17,Новосибирская область,chain,parliament,52729.00,0.70
2019-08-17,Новосибирская область,nonchain,marlboro,956.00,0.17
2019-08-17,Новосибирская область,nonchain,parliament,4654.00,0.83
2019-08-17,Санкт-Петербург,chain,marlboro,59611.00,0.52
2019-08-17,Санкт-Петербург,chain,parliament,55926.00,0.48
2019-08-17,Санкт-Петербург,nonchain,marlboro,23069.00,0.75
2019-08-17,Санкт-Петербург,nonchain,parliament,7528.00,0.25
2019-08-17,Свердловская область,chain,marlboro,9404.00,0.15
2019-08-17,Свердловская область,chain,parliament,53570.00,0.85
2019-08-17,Свердловская область,nonchain,marlboro,2118.00,0.11
2019-08-17,Свердловская область,nonchain,parliament,16717.00,0.89
2019-08-17,г. Москва,chain,marlboro,72650.00,0.63
2019-08-17,г. Москва,chain,parliament,42673.00,0.37
2019-08-17,г. Москва,nonchain,marlboro,4109.00,0.45
2019-08-17,г. Москва,nonchain,parliament,5064.00,0.55
2019-08-18,Ленинградская область,chain,marlboro,21680.00,0.31
2019-08-18,Ленинградская область,chain,parliament,47844.00,0.69
2019-08-18,Ленинградская область,nonchain,marlboro,1551.00,0.18
2019-08-18,Ленинградская область,nonchain,parliament,7013.00,0.82
2019-08-18,Московская область,chain,marlboro,21159.00,0.24
2019-08-18,Московская область,chain,parliament,67769.00,0.76
2019-08-18,Московская область,nonchain,marlboro,5375.00,0.36
2019-08-18,Московская область,nonchain,parliament,9393.00,0.64
2019-08-18,Новосибирская область,chain,marlboro,13155.00,0.23
2019-08-18,Новосибирская область,chain,parliament,44811.00,0.77
2019-08-18,Новосибирская область,nonchain,marlboro,725.00,0.15
2019-08-18,Новосибирская область,nonchain,parliament,4210.00,0.85
2019-08-18,Санкт-Петербург,chain,marlboro,58142.00,0.53
2019-08-18,Санкт-Петербург,chain,parliament,52550.00,0.47
2019-08-18,Санкт-Петербург,nonchain,marlboro,19684.00,0.80
2019-08-18,Санкт-Петербург,nonchain,parliament,5006.00,0.20
2019-08-18,Свердловская область,chain,marlboro,7537.00,0.13
2019-08-18,Свердловская область,chain,parliament,48791.00,0.87
2019-08-18,Свердловская область,nonchain,marlboro,2795.00,0.20
2019-08-18,Свердловская область,nonchain,parliament,11501.00,0.80
2019-08-18,г. Москва,chain,marlboro,40660.00,0.47
2019-08-18,г. Москва,chain,parliament,45932.00,0.53
2019-08-18,г. Москва,nonchain,marlboro,3686.00,0.46
2019-08-18,г. Москва,nonchain,parliament,4354.00,0.54
2019-08-19,Ленинградская область,chain,marlboro,18668.00,0.20
2019-08-19,Ленинградская область,chain,parliament,76491.00,0.80
2019-08-19,Ленинградская область,nonchain,marlboro,2243.00,0.25
2019-08-19,Ленинградская область,nonchain,parliament,6628.00,0.75
2019-08-19,Московская область,chain,marlboro,21189.00,0.25
2019-08-19,Московская область,chain,parliament,64287.00,0.75
2019-08-19,Московская область,nonchain,marlboro,7188.00,0.58
